InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,29-Nov-16,2.55,17850,United Kingdom
536365,71053,WHITE METAL LANTERN,6,29-Nov-16,3.39,17850,United Kingdom
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,29-Nov-16,2.75,17850,United Kingdom
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,29-Nov-16,3.39,17850,United Kingdom
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,29-Nov-16,3.39,17850,United Kingdom
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,29-Nov-16,7.65,17850,United Kingdom
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,29-Nov-16,4.25,17850,United Kingdom
536366,22633,HAND WARMER UNION JACK,6,29-Nov-16,1.85,17850,United Kingdom
536366,22632,HAND WARMER RED POLKA DOT,6,29-Nov-16,1.85,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,29-Nov-16,1.69,13047,United Kingdom
